epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,16295.5,0.76135,0.55709,0.99542,0.77472,0.59244,0.57684,0.403,0.97094,0.7227,1.14661,0.000247472,0.000247472,0.000247472
68,16515,0.7596,0.54962,0.99101,0.76155,0.58893,0.56998,0.40549,0.97709,0.72453,1.1446,0.000240404,0.000240404,0.000240404
69,16734.8,0.73023,0.52746,0.98717,0.75881,0.56196,0.55111,0.40088,0.9753,0.71301,1.14388,0.000233335,0.000233335,0.000233335
70,16987.3,0.73196,0.52188,0.99337,0.74097,0.56261,0.55134,0.39637,0.95179,0.71729,1.11826,0.000226267,0.000226267,0.000226267
71,17220.7,0.72687,0.52632,0.98595,0.76687,0.59323,0.57017,0.41441,0.94768,0.71197,1.11364,0.000219198,0.000219198,0.000219198
72,17456,0.71774,0.50673,0.98066,0.90174,0.54409,0.57137,0.4074,0.96206,0.71314,1.11577,0.000212129,0.000212129,0.000212129
73,17672.1,0.70848,0.51959,0.9797,0.89119,0.54876,0.56373,0.40545,0.95886,0.71371,1.13243,0.000205061,0.000205061,0.000205061
74,17909,0.71525,0.51917,0.97941,0.68353,0.56631,0.5648,0.40337,0.96612,0.71288,1.14038,0.000197992,0.000197992,0.000197992
75,18154.6,0.73029,0.52157,0.97903,0.76733,0.56024,0.57937,0.41073,0.9499,0.70423,1.1246,0.000190924,0.000190924,0.000190924
76,18382.2,0.71813,0.51062,0.97731,0.72008,0.58712,0.57319,0.40468,0.96133,0.70665,1.12814,0.000183855,0.000183855,0.000183855
77,18614.9,0.70649,0.50608,0.97289,0.68474,0.59643,0.56106,0.40659,0.95751,0.7063,1.13467,0.000176786,0.000176786,0.000176786
78,18848.6,0.71924,0.49495,0.97755,0.76458,0.59572,0.57441,0.40657,0.95114,0.70058,1.11505,0.000169718,0.000169718,0.000169718
79,19050.1,0.69857,0.48522,0.97058,0.85636,0.58638,0.59975,0.42289,0.94623,0.69597,1.12402,0.000162649,0.000162649,0.000162649
80,19290.5,0.69645,0.50292,0.97745,0.87133,0.58718,0.59461,0.4157,0.95068,0.69826,1.11915,0.000155581,0.000155581,0.000155581
81,19524.7,0.70265,0.49536,0.97655,0.87644,0.55003,0.57249,0.40605,0.94176,0.69457,1.11575,0.000148512,0.000148512,0.000148512
82,19752.2,0.6892,0.49896,0.971,0.86282,0.55602,0.56437,0.40527,0.93923,0.68876,1.11765,0.000141443,0.000141443,0.000141443
83,19954.1,0.69941,0.49705,0.97719,0.7192,0.56334,0.57222,0.41635,0.94077,0.67601,1.10901,0.000134375,0.000134375,0.000134375
84,20192.5,0.70836,0.49568,0.96325,0.61618,0.59813,0.56437,0.41466,0.9261,0.67669,1.10302,0.000127306,0.000127306,0.000127306
85,20393.1,0.69475,0.49993,0.96414,0.61066,0.5711,0.56602,0.41417,0.94326,0.6825,1.11854,0.000120238,0.000120238,0.000120238
86,20603.2,0.6967,0.49485,0.97357,0.74983,0.56157,0.55596,0.41152,0.93391,0.66789,1.11019,0.000113169,0.000113169,0.000113169
87,20850,0.69165,0.48563,0.96383,0.75868,0.59215,0.56772,0.41639,0.92802,0.65872,1.11431,0.0001061,0.0001061,0.0001061
88,21077.6,0.6623,0.46559,0.96491,0.78159,0.58588,0.56837,0.41691,0.93617,0.68011,1.11398,9.90318e-05,9.90318e-05,9.90318e-05
89,21287.3,0.70269,0.48778,0.96945,0.60362,0.5985,0.59686,0.42043,0.93576,0.67866,1.11388,9.19632e-05,9.19632e-05,9.19632e-05
90,21527.6,0.65622,0.46591,0.95644,0.59376,0.57994,0.59819,0.42682,0.93029,0.66751,1.11189,8.48946e-05,8.48946e-05,8.48946e-05
91,21751.3,0.661,0.46688,0.93955,0.7797,0.55272,0.57561,0.41408,0.93301,0.67917,1.11282,7.7826e-05,7.7826e-05,7.7826e-05
92,21964,0.68385,0.46561,0.95075,0.82708,0.54467,0.57215,0.41341,0.93908,0.69459,1.11804,7.07574e-05,7.07574e-05,7.07574e-05
93,22175.4,0.66409,0.4479,0.94016,0.82412,0.57622,0.58627,0.42389,0.93354,0.68665,1.11927,6.36888e-05,6.36888e-05,6.36888e-05
94,22395.9,0.64794,0.44275,0.94089,0.83161,0.58129,0.58733,0.42236,0.9239,0.67281,1.10998,5.66202e-05,5.66202e-05,5.66202e-05
95,22596.1,0.64499,0.44007,0.94493,0.815,0.58636,0.58883,0.42356,0.92405,0.66759,1.1079,4.95516e-05,4.95516e-05,4.95516e-05
96,22794,0.65046,0.43726,0.94695,0.82219,0.58814,0.58995,0.41375,0.92315,0.65944,1.106,4.2483e-05,4.2483e-05,4.2483e-05
97,22993.2,0.6412,0.43607,0.93293,0.79007,0.58922,0.57254,0.41716,0.92998,0.65983,1.10919,3.54144e-05,3.54144e-05,3.54144e-05
98,23203.9,0.62803,0.42663,0.92542,0.80782,0.58842,0.58026,0.42503,0.93594,0.66295,1.11623,2.83458e-05,2.83458e-05,2.83458e-05
99,23413.3,0.63908,0.43283,0.93773,0.80754,0.59313,0.58089,0.42474,0.93929,0.66194,1.12322,2.12772e-05,2.12772e-05,2.12772e-05
100,23635.4,0.62422,0.42643,0.9335,0.80907,0.59196,0.57194,0.41751,0.93356,0.66227,1.11488,1.42086e-05,1.42086e-05,1.42086e-05
